Date,Users
3/10/2020,10
4/10/2020,33
5/10/2020,21
6/10/2020,48
7/10/2020,43
8/10/2020,16
9/10/2020,30
10/10/2020,22
11/10/2020,14
12/10/2020,16
13/10/2020,39
14/10/2020,27
15/10/2020,12
16/10/2020,16
17/10/2020,7
18/10/2020,10
19/10/2020,47
20/10/2020,31
21/10/2020,62
22/10/2020,72
23/10/2020,62
24/10/2020,36
25/10/2020,44
26/10/2020,58
27/10/2020,50
28/10/2020,64
29/10/2020,50
30/10/2020,30
31/10/2020,18
1/11/2020,41
2/11/2020,55
3/11/2020,55
4/11/2020,39
5/11/2020,38
6/11/2020,32
7/11/2020,37
8/11/2020,30
9/11/2020,55
10/11/2020,42
11/11/2020,52
12/11/2020,61
13/11/2020,35
14/11/2020,42
15/11/2020,35
16/11/2020,51
17/11/2020,2
18/11/2020,3
19/11/2020,3
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,2
24/11/2020,35
25/11/2020,38
26/11/2020,34
27/11/2020,23
28/11/2020,39
29/11/2020,47
30/11/2020,37
1/12/2020,27
2/12/2020,38
3/12/2020,43
4/12/2020,29
5/12/2020,47
6/12/2020,50
7/12/2020,37
8/12/2020,40
9/12/2020,30
10/12/2020,41
11/12/2020,51
12/12/2020,29
13/12/2020,46
14/12/2020,50
15/12/2020,40
16/12/2020,45
17/12/2020,44
18/12/2020,56
19/12/2020,31
20/12/2020,54
21/12/2020,43
22/12/2020,11
23/12/2020,14
24/12/2020,13
25/12/2020,6
26/12/2020,13
27/12/2020,19
28/12/2020,18
29/12/2020,19
30/12/2020,5
31/12/2020,5
1/1/2021,3
2/1/2021,13
3/1/2021,18
4/1/2021,16
5/1/2021,27
6/1/2021,8
7/1/2021,19
8/1/2021,19
9/1/2021,9
10/1/2021,28
11/1/2021,19
12/1/2021,27
13/1/2021,26
14/1/2021,27
15/1/2021,22
16/1/2021,17
17/1/2021,14
18/1/2021,9
19/1/2021,8
20/1/2021,14
21/1/2021,20
22/1/2021,7
23/1/2021,9
24/1/2021,10
25/1/2021,15
26/1/2021,21
27/1/2021,15
28/1/2021,13
29/1/2021,21
30/1/2021,5
31/1/2021,3
1/2/2021,26
2/2/2021,36
3/2/2021,39
4/2/2021,66
5/2/2021,29
6/2/2021,55
7/2/2021,38
8/2/2021,50
9/2/2021,44
10/2/2021,37
11/2/2021,53
12/2/2021,39
13/2/2021,17
14/2/2021,52
15/2/2021,38
16/2/2021,42
17/2/2021,43
18/2/2021,50
19/2/2021,31
20/2/2021,20
21/2/2021,34
22/2/2021,49
23/2/2021,32
24/2/2021,48
25/2/2021,25
26/2/2021,39
27/2/2021,14
28/2/2021,20
1/3/2021,48
2/3/2021,35
3/3/2021,48
4/3/2021,37
5/3/2021,35
6/3/2021,34
7/3/2021,47
8/3/2021,44
9/3/2021,40
10/3/2021,48
11/3/2021,43
12/3/2021,66
13/3/2021,55
14/3/2021,63
15/3/2021,94
16/3/2021,103
17/3/2021,101
18/3/2021,67
19/3/2021,104
20/3/2021,49
21/3/2021,102
22/3/2021,115
23/3/2021,102
24/3/2021,136
25/3/2021,121
26/3/2021,92
27/3/2021,57
28/3/2021,61
29/3/2021,56
30/3/2021,66
31/3/2021,29
1/4/2021,32
2/4/2021,28
3/4/2021,43
4/4/2021,44
5/4/2021,57
6/4/2021,86
7/4/2021,81
8/4/2021,98
9/4/2021,84
10/4/2021,57
11/4/2021,82
12/4/2021,61
13/4/2021,58
14/4/2021,45
15/4/2021,62
16/4/2021,58
17/4/2021,31
18/4/2021,44
19/4/2021,52
20/4/2021,69
21/4/2021,61
22/4/2021,53
23/4/2021,51
24/4/2021,40
25/4/2021,45
26/4/2021,55
27/4/2021,50
28/4/2021,55
29/4/2021,40
30/4/2021,33
1/5/2021,34
2/5/2021,34
3/5/2021,50
4/5/2021,58
5/5/2021,79
6/5/2021,69
7/5/2021,38
8/5/2021,23
9/5/2021,40
10/5/2021,75
11/5/2021,79
12/5/2021,85
13/5/2021,69
14/5/2021,54
15/5/2021,58
16/5/2021,36
17/5/2021,42
18/5/2021,62
19/5/2021,61
20/5/2021,51
21/5/2021,48
22/5/2021,42
23/5/2021,54
24/5/2021,85
25/5/2021,86
26/5/2021,60
27/5/2021,51
28/5/2021,50
29/5/2021,27
30/5/2021,25
31/5/2021,35
1/6/2021,48
2/6/2021,57
3/6/2021,27
4/6/2021,25
5/6/2021,19
6/6/2021,28
7/6/2021,35
8/6/2021,36
9/6/2021,25
10/6/2021,39
11/6/2021,22
12/6/2021,16
13/6/2021,19
14/6/2021,23
15/6/2021,22
16/6/2021,38
17/6/2021,25
18/6/2021,18
19/6/2021,21
20/6/2021,26
21/6/2021,22
22/6/2021,16
23/6/2021,25
24/6/2021,29
25/6/2021,29
26/6/2021,12
27/6/2021,10
28/6/2021,29
29/6/2021,22
30/6/2021,32
1/7/2021,27
2/7/2021,17
3/7/2021,25
4/7/2021,13
5/7/2021,36
6/7/2021,42
7/7/2021,39
8/7/2021,31
9/7/2021,21
10/7/2021,16
11/7/2021,21
12/7/2021,26
13/7/2021,33
14/7/2021,25
15/7/2021,30
16/7/2021,26
17/7/2021,24
18/7/2021,23
19/7/2021,24
20/7/2021,38
21/7/2021,38
22/7/2021,36
23/7/2021,36
24/7/2021,25
25/7/2021,27
26/7/2021,31
27/7/2021,41
28/7/2021,34
29/7/2021,41
30/7/2021,27
31/7/2021,22
1/8/2021,29
2/8/2021,44
3/8/2021,31
4/8/2021,47
5/8/2021,39
6/8/2021,39
7/8/2021,23
8/8/2021,24
9/8/2021,41
10/8/2021,44
11/8/2021,33
12/8/2021,33
13/8/2021,20
14/8/2021,18
15/8/2021,23
16/8/2021,29
17/8/2021,39
18/8/2021,36
19/8/2021,24
20/8/2021,35
21/8/2021,29
22/8/2021,19
23/8/2021,38
24/8/2021,53
25/8/2021,37
26/8/2021,56
27/8/2021,43
28/8/2021,24
29/8/2021,34
30/8/2021,44
31/8/2021,50
1/9/2021,57
2/9/2021,42
3/9/2021,37
4/9/2021,23
5/9/2021,31
6/9/2021,53
7/9/2021,59
8/9/2021,66
9/9/2021,53
10/9/2021,37
11/9/2021,30
12/9/2021,36
13/9/2021,46
14/9/2021,46
15/9/2021,64
16/9/2021,43
17/9/2021,39
18/9/2021,33
19/9/2021,26
20/9/2021,52
21/9/2021,50
22/9/2021,41
23/9/2021,57
24/9/2021,27
25/9/2021,15
26/9/2021,36
27/9/2021,47
28/9/2021,61
29/9/2021,47
30/9/2021,45
1/10/2021,29
2/10/2021,17
3/10/2021,32
4/10/2021,61
5/10/2021,45
6/10/2021,60
7/10/2021,38
8/10/2021,31
9/10/2021,19
10/10/2021,23
11/10/2021,52
12/10/2021,41
13/10/2021,51
14/10/2021,36
15/10/2021,31
16/10/2021,29
17/10/2021,33
18/10/2021,41
19/10/2021,59
20/10/2021,45
21/10/2021,43
22/10/2021,27
23/10/2021,25
24/10/2021,17
25/10/2021,56
26/10/2021,36
27/10/2021,44
28/10/2021,51
29/10/2021,26
30/10/2021,18
31/10/2021,28
1/11/2021,20
2/11/2021,49
3/11/2021,51
4/11/2021,45
5/11/2021,34
6/11/2021,30
7/11/2021,33
8/11/2021,34
9/11/2021,38
10/11/2021,60
11/11/2021,51
12/11/2021,45
13/11/2021,46
14/11/2021,58
15/11/2021,35
16/11/2021,58
17/11/2021,47
18/11/2021,65
19/11/2021,42
20/11/2021,31
21/11/2021,35
22/11/2021,45
23/11/2021,50
24/11/2021,42
25/11/2021,27
26/11/2021,30
27/11/2021,17
28/11/2021,23
29/11/2021,31
30/11/2021,48
1/12/2021,44
2/12/2021,22
3/12/2021,38
4/12/2021,36
5/12/2021,19
6/12/2021,21
7/12/2021,50
8/12/2021,36
9/12/2021,109
10/12/2021,49
11/12/2021,24
12/12/2021,37
13/12/2021,54
14/12/2021,49
15/12/2021,41
16/12/2021,35
17/12/2021,38
18/12/2021,29
19/12/2021,21
20/12/2021,41
21/12/2021,35
22/12/2021,44
23/12/2021,27
24/12/2021,28
25/12/2021,26
26/12/2021,33
27/12/2021,47
28/12/2021,36
29/12/2021,46
30/12/2021,48
31/12/2021,23
1/1/2022,17
2/1/2022,30
3/1/2022,52
4/1/2022,49
5/1/2022,44
6/1/2022,41
7/1/2022,36
8/1/2022,29
9/1/2022,37
10/1/2022,57
11/1/2022,58
12/1/2022,46
13/1/2022,52
14/1/2022,38
15/1/2022,42
16/1/2022,26
17/1/2022,66
18/1/2022,56
19/1/2022,53
20/1/2022,50
21/1/2022,54
22/1/2022,41
23/1/2022,55
24/1/2022,57
25/1/2022,62
26/1/2022,64
27/1/2022,69
28/1/2022,55
29/1/2022,38
30/1/2022,39
31/1/2022,72
1/2/2022,75
2/2/2022,66
3/2/2022,63
4/2/2022,42
5/2/2022,42
6/2/2022,42
7/2/2022,63
8/2/2022,49
9/2/2022,63
10/2/2022,53
11/2/2022,46
12/2/2022,49
13/2/2022,39
14/2/2022,48
15/2/2022,63
16/2/2022,37
17/2/2022,60
18/2/2022,47
19/2/2022,29
20/2/2022,38
21/2/2022,52
22/2/2022,57
23/2/2022,58
24/2/2022,54
25/2/2022,38
26/2/2022,27
27/2/2022,26
28/2/2022,59
1/3/2022,36
2/3/2022,45
3/3/2022,52
4/3/2022,47
5/3/2022,23
6/3/2022,30
7/3/2022,62
8/3/2022,74
9/3/2022,66
10/3/2022,38
11/3/2022,28
12/3/2022,32
13/3/2022,37
14/3/2022,66
15/3/2022,56
16/3/2022,78
17/3/2022,44
18/3/2022,41
19/3/2022,45
20/3/2022,40
21/3/2022,83
22/3/2022,60
23/3/2022,59
24/3/2022,73
25/3/2022,56
26/3/2022,34
27/3/2022,31
28/3/2022,66
29/3/2022,66
30/3/2022,71
31/3/2022,53
1/4/2022,48
2/4/2022,40
3/4/2022,51
4/4/2022,86
5/4/2022,56
6/4/2022,53
7/4/2022,48
8/4/2022,55
9/4/2022,37
10/4/2022,32
11/4/2022,61
12/4/2022,46
13/4/2022,37
14/4/2022,38
15/4/2022,30
16/4/2022,33
17/4/2022,52
18/4/2022,56
19/4/2022,66
20/4/2022,59
21/4/2022,51
22/4/2022,48
23/4/2022,42
24/4/2022,36
25/4/2022,65
26/4/2022,63
27/4/2022,64
28/4/2022,46
29/4/2022,29
30/4/2022,21
